--- Terminal on /dev/cu.usbmodem1101 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Gyro bias frozen: -0.000756 (93 samples)
# Light Detection 360 Scan — position robot then stand clear
# Testing pin: A4
Heading_deg,Raw,Volts
-0.1,1013,4.951
-0.1,1023,5.000
-0.1,1019,4.980
-0.1,1000,4.888
-0.1,1019,4.980
-0.1,1008,4.927
-0.1,1008,4.927
-0.1,1000,4.888
-0.1,1010,4.936
-0.1,1019,4.980
-0.0,1015,4.961
-0.0,1016,4.966
-0.0,1000,4.888
-0.0,1018,4.976
-0.0,1012,4.946
-0.0,1022,4.995
-0.0,1008,4.927
-0.0,1023,5.000
-0.0,1009,4.932
-0.0,1000,4.888
-0.0,1004,4.907
-0.0,1002,4.897
-0.0,1014,4.956
-0.0,1004,4.907
-0.0,1000,4.888
-0.0,1002,4.897
-0.0,1004,4.907
-0.0,1021,4.990
-0.0,1023,5.000
-0.0,1004,4.907
-0.0,1019,4.980
-0.0,1008,4.927
-0.0,1015,4.961
-0.0,1019,4.980
-0.0,1011,4.941
-0.0,1020,4.985
-0.0,1023,5.000
-0.0,1003,4.902
-0.0,1003,4.902
-0.0,1016,4.966
0.0,1008,4.927
0.0,999,4.883
0.0,1012,4.946
0.0,1023,5.000
0.0,1015,4.961
0.0,1010,4.936
0.0,1016,4.966
0.0,1004,4.907
0.0,1016,4.966
0.0,1000,4.888
0.0,1023,5.000
0.0,1008,4.927
0.0,1008,4.927
0.0,1017,4.971
0.0,996,4.868
-0.0,1008,4.927
0.0,1011,4.941
0.0,1023,5.000
0.0,1023,5.000
0.0,1023,5.000
0.0,1010,4.936
0.0,1008,4.927
0.0,1008,4.927
0.1,1000,4.888
0.1,1009,4.932
0.1,1008,4.927
0.1,1008,4.927
0.1,1016,4.966
0.1,1010,4.936
